ospcomp,uspcomp,nchar
Pw  50Sw  10Cw  10Mr  10Or  10Bw  10,,36
Sw  30Bw  20Bf  20PO  10Mr  10He  10,,36
Bw  30Pr  20Bf  20Pw  10Cw  10Pt  10, ,36
Mh  20Pl  20Mr  20Be  20He  10Bf  10, ,36
Pt  50Sw  10Bw  10Sb  10Pj  10Bf  10, ,36
Sb  30Bw  20Pj  20Pt  10Bf  10Pw  10, ,36
Bw  30Pt  20Bf  20Pj  10Sb  10Sw  10, ,36
Mh  40Or  20By  10Sw  10Be  10Mr  10, ,36
Bf  30Pt  30Pw  10He  10Sw  10By  10, ,36
Mr  30Pt  20Bf  20Pl  10Bw  10Sb  10,NA,36
Sb  40Bf  20Bw  10Pj  10Cw  10La  10, ,36
Pt  30Bf  20Pw  20Mr  10Sb  10Bw  10, ,36
Sb  40Or  20Pw  10Pr  10Pl  10Bw  10, ,36
Mh  40Pt  20Mr  10He  10Or  10By  10,Mh  40Pt  40Bf  10Aw  10,36
Sb  40Bw  20Pt  10Pj  10Bf  10Sw  10, ,36
Bw  30Sb  30Pj  10Pt  10Sw  10Bf  10, ,36
Bw  40Mr  20Sb  10Pj  10Pw  10Bf  10, ,36
Pj  30Pt  20Mr  20Bw  10Sb  10Bf  10, ,36
Mh  40Or  20Pw  10Mr  10Bw  10Pt  10,Mh 100,36
Mh  40Bw  20Sw  10Mr  10Bf  10By  10, ,36
Sb  20Bf  20Bw  20Cw  20Mh  10Mr  10, ,36
Bw  40Sb  20Mr  10Pw  10Sw  10Bf  10, ,36
Mh  40Mr  20PO  10Aw  10Bw  10Bd  10,,36
By  30Mh  20Bf  20Sw  10Cw  10Bw  10, ,36
Bw  30Bf  20Pt  20Pr  10Sb  10Sw  10, ,36
Mr  30Mh  20By  20Sw  10Bf  10Pt  10, ,36
PO  20Bw  20Mr  20Pr  20Sb  10Pj  10, ,36
Sb  40Bw  20Pt  10Bf  10Sw  10Cw  10, ,36
Mh  30Mr  30Bd  10PO  10Pw  10Sw  10,,36
Bf  40Sb  20Pt  10Bw  10Sw  10Pr  10, ,36
Pt  30Bf  30Sw  10Sb  10Bw  10Mr  10,Pt  50Bw  20Bf  20Mr  10,36
Sb  30Bw  20Bf  20Pt  10Mr  10Sw  10,NA,36
Pw  30Bw  20Sw  20Mr  10By  10Pt  10, ,36
He  30By  20Mh  20Sw  10Cw  10Be  10,He 100,36
Pt  40Sb  20Bw  10Mr  10Bf  10La  10, ,36
Or  30Mh  30Pt  10Bd  10Bw  10Mr  10, ,36
Mh  30Mr  20By  20Cb  10PO  10OC  10,,36
Mh  40Bw  20Sw  10By  10Cw  10Sb  10, ,36
Mh  40Mr  20Cw  10Pt  10Bw  10Bf  10,NA,36
Bw  30Sb  20Pt  20Pl  10Bf  10Pr  10, ,36
PO  20Bw  20Cw  20Bf  20Sw  10Ab  10,,36
Sb  30Bf  20Sw  20Pt  10Pj  10Bw  10, ,36
Bw  20Cw  20Sw  20By  20Mh  10Sb  10, ,36
Bw  40Bf  20Sw  10Sb  10Cw  10By  10, ,36
